"Condition:"
"STBFIELD","STBFORM","STBGROUP","STBIMPDATE","STBIMPINDEX","STBITEM","STBMAPID","STBPAGE","STBSTATUS","S_Amount"
"S_Amount","S","0015","2016-11-23 12:24:06.693","709","SP10C9A","966","","A","76116600.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.693","711","SP10C9A","966","","A","78116400.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.693","713","SP10C9A","966","","A","9116200.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.693","710","SP10C9A","966","","A","79116500.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.693","712","SP10C9A","966","","A","7116300.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.787","1380","SP10C9A","966","","A","6100.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.787","1381","SP10C9A","966","","A","6000.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.787","1382","SP10C9A","966","","A","5900.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.787","1377","SP10C9A","966","","A","7895900.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.787","1383","SP10C9A","966","","A","5800.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.787","1378","SP10C9A","966","","A","7895800.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.787","1384","SP10C9A","966","","A","5700.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.787","1379","SP10C9A","966","","A","7895700.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.687","669","SP10C9A","966","","A","30000.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.687","674","SP10C9A","966","","A","30000.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.69","684","SP10C9A","966","","A","4900000.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.69","704","SP10C9A","966","","A","1500000.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.69","689","SP10C9A","966","","A","5060000.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.7","791","SP10C9A","966","","A","107300.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.697","766","SP10C9A","966","","A","110100.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.7","792","SP10C9A","966","","A","107200.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.69","679","SP10C9A","966","","A","2510000.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.7","776","SP10C9A","966","","A","109000.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.69","699","SP10C9A","966","","A","2500000.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.697","765","SP10C9A","966","","A","110200.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.697","767","SP10C9A","966","","A","110000.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.7","777","SP10C9A","966","","A","108900.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.7","793","SP10C9A","966","","A","107100.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.697","768","SP10C9A","966","","A","109900.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.69","700","SP10C9A","966","","A","2600000.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.69","705","SP10C9A","966","","A","1560000.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.687","670","SP10C9A","966","","A","29800.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.687","675","SP10C9A","966","","A","29800.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.69","680","SP10C9A","966","","A","2520000.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.69","685","SP10C9A","966","","A","592000.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.69","690","SP10C9A","966","","A","5070000.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.7","794","SP10C9A","966","","A","106900.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.697","769","SP10C9A","966","","A","109800.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.7","778","SP10C9A","966","","A","108700.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.69","701","SP10C9A","966","","A","2700000.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.7","795","SP10C9A","966","","A","106800.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.69","702","SP10C9A","966","","A","2800000.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.69","706","SP10C9A","966","","A","1620000.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.69","707","SP10C9A","966","","A","1680000.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.69","708","SP10C9A","966","","A","1740000.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.687","671","SP10C9A","966","","A","29600.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.687","672","SP10C9A","966","","A","29400.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.687","673","SP10C9A","966","","A","29200.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.687","676","SP10C9A","966","","A","29600.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.687","677","SP10C9A","966","","A","250000.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.69","678","SP10C9A","966","","A","250000.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.69","681","SP10C9A","966","","A","2530000.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.69","682","SP10C9A","966","","A","2540000.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.69","683","SP10C9A","966","","A","2450000.0000000000"
"S_Amount","S","0015","2016-11-23 12:24:06.69","686","SP10C9A","966","","A","520000.0000000000"
